Station name,Station ID,Date,Turb,Turb-Unit,mPO4,mPO4-Unit,mRun,mRun-Unit,mVin,mVin-Unit,mQC,mQC-Unit
127215,61e09ba56a379f48b21582c5,2023-11-30T04:00:24Z,0.0,,0.320," ",520," ",13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-30T08:00:24Z,0.0,,0.786," ",521," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-30T12:00:24Z,0.0,,1.041," ",522," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-30T16:00:24Z,0.0,,1.048," ",523," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-30T20:00:24Z,0.0,,0.890," ",524," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-01T00:00:24Z,0.0,,0.890," ",524," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-01T04:00:24Z,0.0,,0.799," ",525," ",13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-01T08:00:24Z,0.0,,1.170," ",526," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-01T12:00:24Z,0.0,,1.195," ",527," ",13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-01T16:00:24Z,0.0,,0.728," ",528," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-01T20:00:24Z,0.0,,0.548," ",529," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-02T00:00:24Z,0.0,,0.612," ",530," ",13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-02T04:00:24Z,0.0,,0.773," ",531," ",13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-02T08:00:24Z,0.0,,0.903," ",532," ",13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-02T12:00:24Z,0.0,,0.639," ",533," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-02T16:00:24Z,0.0,,0.790," ",534," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-02T20:00:24Z,0.0,,1.169," ",535," ",13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-03T00:00:24Z,0.0,,0.414," ",536," ",13.2," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-03T04:00:24Z,0.0,,0.831," ",537," ",13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-03T08:00:24Z,0.0,,0.902," ",538," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-03T12:00:24Z,0.0,,1.160," ",539," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-03T16:00:24Z,0.0,,0.906," ",540," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-03T20:00:24Z,0.0,,0.846," ",541," ",13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-04T00:00:24Z,0.0,,0.827," ",542," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-04T04:00:24Z,0.0,,1.154," ",543," ",13.2," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-04T08:00:24Z,0.0,,1.163," ",544," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-04T12:00:24Z,0.0,,1.050," ",545," ",13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-04T16:00:24Z,0.0,,0.619," ",546," ",13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-04T20:00:24Z,0.0,,-10.000," ",547," ",13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-05T00:00:24Z,4.21,,0.865," ",548," ",13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-05T04:00:24Z,3.01,,0.083," ",549," ",13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-05T08:00:24Z,1.85,,0.059," ",550," ",13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-05T12:00:24Z,2.02,,0.045," ",551," ",13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-05T16:00:24Z,1.76,,0.051," ",552," ",13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-12-05T20:00:24Z,1.97,,0.051," ",553," ",13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-12-06T00:00:24Z,2.62,,0.047," ",554," ",13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-12-06T04:00:24Z,2.31,,0.044," ",555," ",13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-12-06T08:00:24Z,1.8,,0.043," ",556," ",13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-12-06T12:00:24Z,1.81,,0.037," ",557," ",13.1," ",1," "
