Station name,Station ID,Date,YB,YB-Unit,mVin,mVin-Unit,mQC,mQC-Unit
127215,61e09ba56a379f48b21582c5,2023-11-21T20:00:24Z,12.94,V,," ",," "
127215,61e09ba56a379f48b21582c5,2023-11-22T00:00:24Z,12.94,V,13.2," ",4," "
127215,61e09ba56a379f48b21582c5,2023-11-22T04:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-22T08:00:24Z,13.17,V,13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-22T12:00:24Z,13.17,V,13.2," ",4," "
127215,61e09ba56a379f48b21582c5,2023-11-22T16:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-22T20:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-23T00:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-23T04:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-23T08:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-23T12:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-23T16:00:24Z,13.17,V,13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-23T20:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T00:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T04:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T08:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T12:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T16:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T20:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T00:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T04:00:24Z,12.94,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T08:00:24Z,12.94,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T12:00:24Z,12.71,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T16:00:24Z,12.94,V,13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T20:00:24Z,12.94,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T00:00:24Z,12.94,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T04:00:24Z,12.94,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T08:00:24Z,13.17,V,13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T12:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T16:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T20:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T00:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T04:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T08:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T12:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T16:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T20:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-28T00:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-28T04:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-28T08:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-28T12:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-28T20:00:24Z,6.62,V,13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-29T00:00:24Z,13.17,V,13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-29T04:00:24Z,12.94,V,13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-29T08:00:24Z,12.94,V,13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-29T12:00:24Z,12.94,V,13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-29T16:00:24Z,12.94,V,13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-11-29T20:00:24Z,12.94,V,13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-11-30T00:00:24Z,12.94,V,13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-11-30T04:00:24Z,12.94,V,13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-30T08:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-30T12:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-30T16:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-30T20:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-01T00:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-01T04:00:24Z,12.71,V,13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-01T08:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-01T12:00:24Z,12.94,V,13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-01T16:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-01T20:00:24Z,12.71,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-02T00:00:24Z,12.94,V,13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-02T04:00:24Z,13.17,V,13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-02T08:00:24Z,12.94,V,13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-02T12:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-02T16:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-02T20:00:24Z,12.94,V,13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-03T00:00:24Z,12.94,V,13.2," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-03T04:00:24Z,12.94,V,13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-03T08:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-03T12:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-03T16:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-03T20:00:24Z,12.94,V,13.1," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-04T00:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-04T04:00:24Z,12.94,V,13.2," ",4," "
127215,61e09ba56a379f48b21582c5,2023-12-04T08:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-04T12:00:24Z,12.94,V,13.1," ",3," "
127215,61e09ba56a379f48b21582c5,2023-12-04T16:00:24Z,12.94,V,13.1," ",4," "
